organ,drug,dose_mg,duration_h,oxygen,ph,viability,lactate,toxic_metabolites,heartbeat,contractility,filtration,glucose,label
heart,Drug A,10.53,16.83,99.85,7.436,100.0,1.05,1.93,71.0,92.32,120.93,98.66,Normal
kidney,Drug B,35.26,26.33,79.02,7.202,75.64,4.16,12.79,91.09,78.29,90.04,86.0,Mild Toxicity
lungs,Drug B,43.37,17.56,85.57,7.26,77.82,3.21,10.5,82.52,76.51,81.47,86.37,Mild Toxicity
liver,Drug A,4.97,4.53,96.85,7.396,94.91,0.82,1.32,69.37,96.78,108.07,102.23,Normal
heart,Drug B,2.15,25.65,97.86,7.389,99.18,1.57,2.18,69.89,85.15,115.99,106.56,Normal
liver,Drug C,32.48,27.0,64.69,6.925,42.12,7.84,28.41,48.2,44.33,50.92,57.24,Severe Toxicity
heart,Drug B,54.98,17.47,80.67,7.142,73.02,4.42,12.67,90.72,69.3,93.39,74.64,Mild Toxicity
lungs,Drug B,54.41,2.87,94.18,7.334,96.2,1.29,2.61,80.11,89.86,108.22,84.82,Normal
liver,Drug C,32.56,18.6,76.6,7.092,61.89,5.82,19.98,96.59,59.91,71.41,60.31,Mild Toxicity
heart,Drug B,52.7,10.88,84.83,7.301,85.2,3.09,8.49,72.79,82.78,82.1,83.37,Mild Toxicity
liver,Drug A,39.29,32.41,96.01,7.321,99.29,1.01,1.48,59.25,88.57,107.68,92.94,Normal
heart,Drug A,17.85,9.04,97.1,7.371,95.93,1.21,1.2,70.85,91.33,100.71,95.51,Normal
liver,Drug A,43.31,12.98,99.93,7.349,100.0,1.21,2.45,77.03,92.19,99.44,95.6,Normal
heart,Drug C,20.25,8.78,87.46,7.327,91.37,2.74,7.22,76.58,86.06,91.01,80.69,Normal
liver,Drug C,32.16,7.02,88.15,7.289,83.21,3.02,8.55,88.34,82.68,84.51,83.89,Mild Toxicity
liver,Drug A,11.21,16.47,98.32,7.349,96.95,1.11,1.51,71.77,86.67,103.53,98.39,Normal
lungs,Drug A,19.06,29.0,94.99,7.406,98.68,0.83,1.36,72.17,98.86,92.61,103.43,Normal
lungs,Drug B,53.07,35.37,64.52,6.99,52.7,6.89,24.88,110.19,48.31,44.41,54.78,Severe Toxicity
liver,Drug C,10.91,30.2,87.36,7.255,79.05,3.29,11.67,93.93,74.48,74.39,86.54,Mild Toxicity
liver,Drug A,49.38,3.17,93.93,7.433,99.69,1.2,2.03,77.24,92.73,113.01,88.79,Normal
kidney,Drug C,4.06,16.32,90.95,7.37,92.64,1.75,3.99,84.16,91.84,105.34,90.77,Normal
lungs,Drug A,33.62,24.09,96.91,7.425,99.79,1.2,1.3,63.89,94.44,111.67,92.78,Normal
liver,Drug A,41.45,24.31,99.65,7.42,99.24,1.1,1.72,72.66,91.46,107.74,110.97,Normal
kidney,Drug B,3.92,16.28,95.57,7.368,89.1,1.09,2.39,73.46,90.19,99.06,99.65,Normal
liver,Drug B,22.98,23.87,93.19,7.236,85.19,2.77,8.24,87.13,81.19,110.77,79.98,Mild Toxicity
heart,Drug A,40.84,23.08,96.79,7.38,97.48,0.95,1.44,77.85,96.26,121.91,94.84,Normal
kidney,Drug B,6.67,12.5,94.76,7.364,96.62,1.71,2.93,68.56,87.24,112.8,99.44,Normal
heart,Drug B,31.63,27.26,82.14,7.198,78.92,3.83,11.86,89.78,70.98,90.04,80.44,Mild Toxicity
heart,Drug A,46.08,30.24,99.83,7.411,95.26,1.0,1.9,84.16,91.9,101.01,99.36,Normal
lungs,Drug B,59.28,16.58,83.37,7.17,77.06,4.21,14.13,100.48,68.82,84.17,66.81,Mild Toxicity
lungs,Drug A,14.51,9.3,97.24,7.418,99.92,1.05,1.57,78.98,91.67,105.52,99.72,Normal
kidney,Drug A,23.1,22.53,96.8,7.318,100.0,1.23,1.23,74.52,91.08,111.03,87.26,Normal
kidney,Drug B,53.8,7.58,91.57,7.28,84.48,2.22,6.52,76.97,84.11,109.43,84.69,Normal
liver,Drug A,4.01,10.25,92.26,7.402,100.0,1.25,2.04,76.81,94.03,109.44,91.59,Normal
heart,Drug C,13.62,19.85,87.44,7.227,79.32,3.26,9.97,81.59,79.71,77.38,75.99,Mild Toxicity
lungs,Drug C,14.3,29.64,83.86,7.146,75.15,4.17,14.48,85.14,69.07,83.09,83.72,Mild Toxicity
lungs,Drug C,13.76,34.89,77.56,7.205,70.23,4.9,16.49,80.04,63.26,64.65,75.78,Mild Toxicity
lungs,Drug C,37.81,21.2,65.25,6.961,50.43,7.14,25.97,92.53,52.55,53.02,60.78,Severe Toxicity
liver,Drug C,41.32,26.89,52.69,6.803,34.46,9.35,35.34,41.77,39.54,43.48,58.13,Severe Toxicity
heart,Drug B,48.56,2.92,93.07,7.362,94.07,1.78,4.05,73.69,97.12,112.04,82.0,Normal
kidney,Drug A,5.84,24.68,100.0,7.444,97.55,0.78,1.66,66.95,92.72,109.76,96.24,Normal
liver,Drug A,51.72,25.8,93.95,7.427,95.89,1.01,0.9,74.79,92.53,102.63,93.33,Normal
heart,Drug A,25.84,28.94,95.79,7.43,98.33,0.93,2.16,61.69,90.12,101.3,90.06,Normal
liver,Drug A,12.07,9.56,96.77,7.453,100.0,1.24,0.96,77.02,95.63,111.66,91.83,Normal
kidney,Drug B,33.26,29.48,81.92,7.191,68.48,4.26,13.83,86.99,74.35,74.91,81.9,Mild Toxicity
liver,Drug A,13.05,18.29,96.68,7.39,98.02,0.84,1.4,69.84,88.68,106.01,97.77,Normal
lungs,Drug A,27.63,20.83,97.14,7.407,98.09,1.14,1.56,68.06,91.64,101.24,98.47,Normal
heart,Drug C,58.58,8.93,78.45,7.149,71.28,4.76,17.74,82.81,66.9,67.08,82.61,Mild Toxicity
kidney,Drug B,35.11,20.81,83.65,7.222,77.16,3.8,10.28,87.98,77.51,90.55,85.25,Mild Toxicity
lungs,Drug C,46.65,8.13,80.72,7.24,77.44,4.15,11.91,76.91,64.47,93.21,90.95,Mild Toxicity
heart,Drug B,15.41,31.08,88.01,7.297,91.96,2.5,7.55,72.76,79.21,93.49,84.26,Normal
lungs,Drug B,5.89,25.19,97.52,7.337,94.11,0.96,3.75,69.84,89.82,104.84,92.9,Normal
kidney,Drug A,48.42,11.38,97.92,7.322,100.0,0.96,0.95,77.36,97.18,95.41,94.23,Normal
heart,Drug C,7.36,32.34,91.29,7.276,88.32,2.85,8.55,72.64,84.98,89.68,76.52,Mild Toxicity
heart,Drug B,5.13,3.38,94.31,7.344,100.0,1.22,2.2,72.08,93.16,122.22,95.46,Normal
lungs,Drug C,37.81,6.34,89.74,7.284,87.61,3.02,9.07,88.82,86.46,94.14,81.72,Mild Toxicity
lungs,Drug A,54.91,24.07,95.07,7.412,96.97,1.34,2.17,69.04,94.05,95.87,99.5,Normal
heart,Drug B,2.77,25.69,99.66,7.435,96.21,1.56,2.52,72.39,92.73,106.45,94.55,Normal
kidney,Drug B,42.28,11.97,89.35,7.301,84.49,2.82,8.19,83.53,85.32,100.05,85.11,Mild Toxicity
heart,Drug C,24.5,10.84,85.29,7.25,86.3,3.56,9.7,90.51,69.76,86.21,88.33,Mild Toxicity
liver,Drug C,25.57,34.42,62.47,6.935,50.51,7.65,28.71,45.63,43.37,52.54,50.81,Severe Toxicity
heart,Drug A,27.65,14.36,94.32,7.465,100.0,1.18,1.31,72.61,96.15,111.38,97.97,Normal
lungs,Drug B,48.4,17.54,82.2,7.153,77.4,3.35,11.88,91.67,71.02,89.57,86.4,Mild Toxicity
lungs,Drug A,59.74,13.5,96.73,7.427,97.94,0.96,1.86,81.27,90.12,101.53,104.36,Normal
liver,Drug B,18.91,28.15,87.67,7.243,84.72,2.56,8.37,88.29,81.44,92.77,79.12,Mild Toxicity
lungs,Drug A,32.17,26.03,95.29,7.369,99.13,1.02,1.61,81.21,94.47,115.13,89.98,Normal
lungs,Drug C,26.07,29.76,65.7,7.011,54.85,7.24,25.89,94.73,54.23,62.61,69.59,Severe Toxicity
heart,Drug C,46.02,16.17,68.58,7.014,52.39,6.83,24.74,96.83,44.53,68.38,56.27,Severe Toxicity
lungs,Drug A,15.47,6.33,94.93,7.424,96.48,1.13,1.81,78.43,86.55,104.49,99.98,Normal
kidney,Drug B,14.77,31.78,87.61,7.318,88.86,2.57,7.21,79.87,76.58,90.78,86.4,Normal
lungs,Drug A,31.59,1.34,96.0,7.395,95.75,1.02,1.11,66.31,92.63,115.28,97.79,Normal
heart,Drug C,42.15,13.4,74.54,7.032,66.7,5.34,19.14,93.55,51.62,69.86,81.04,Severe Toxicity
liver,Drug B,33.43,8.75,95.1,7.332,89.88,1.99,4.9,78.34,91.0,92.02,97.34,Normal
liver,Drug A,43.43,20.68,99.66,7.44,95.78,1.05,1.14,69.1,93.32,116.03,98.09,Normal
liver,Drug A,53.7,13.77,96.09,7.363,97.83,1.08,1.66,73.22,92.38,114.77,95.0,Normal
heart,Drug A,16.17,14.03,93.64,7.44,100.0,0.9,1.59,65.49,91.61,103.52,87.82,Normal
liver,Drug B,16.74,15.13,93.28,7.36,91.48,1.92,4.81,80.4,84.73,87.22,91.65,Normal
heart,Drug A,12.33,23.66,99.35,7.391,98.28,1.26,1.59,74.2,93.27,101.05,102.75,Normal
liver,Drug C,4.07,33.65,90.76,7.367,88.85,1.9,5.7,75.93,88.92,108.15,89.51,Normal
kidney,Drug A,55.9,30.9,97.85,7.45,99.74,0.87,2.01,70.29,91.27,103.34,86.74,Normal
heart,Drug A,34.88,12.9,98.06,7.417,96.29,0.78,1.3,76.07,93.53,112.33,87.41,Normal
liver,Drug A,34.7,25.03,96.42,7.387,96.69,1.11,1.77,73.56,91.3,113.81,90.8,Normal
heart,Drug C,58.09,8.33,78.7,7.211,67.08,4.75,16.49,83.83,70.96,62.38,80.12,Mild Toxicity
liver,Drug C,32.32,25.9,64.83,6.99,49.86,7.36,26.99,103.29,50.44,51.03,58.39,Severe Toxicity
liver,Drug B,9.72,22.51,97.04,7.348,91.26,1.57,4.0,76.97,78.69,101.87,90.12,Normal
lungs,Drug B,3.94,2.96,97.29,7.375,96.78,1.56,1.63,69.27,85.86,100.52,88.02,Normal
kidney,Drug B,8.86,16.98,94.22,7.394,95.05,1.69,3.82,85.66,86.83,101.69,91.0,Normal
lungs,Drug A,32.4,8.19,95.13,7.356,98.43,0.96,1.67,72.94,91.15,108.16,93.97,Normal
lungs,Drug C,58.49,28.96,30.31,6.6,5.0,12.0,54.34,34.26,8.0,8.0,26.06,Severe Toxicity
lungs,Drug A,33.14,35.13,95.46,7.389,96.3,0.93,2.02,63.57,96.92,111.52,91.97,Normal
liver,Drug C,12.66,8.7,92.51,7.337,91.22,2.08,4.9,81.27,93.38,95.19,90.54,Normal
heart,Drug A,43.97,24.85,95.91,7.429,97.92,0.77,1.74,72.55,89.58,91.01,98.68,Normal
liver,Drug B,51.49,6.56,90.52,7.324,88.11,2.2,5.39,82.34,85.64,91.81,101.59,Normal
kidney,Drug A,33.57,19.91,96.65,7.367,98.42,1.04,1.34,71.24,91.71,114.36,89.55,Normal
kidney,Drug B,2.55,19.35,93.03,7.348,96.76,1.35,1.39,79.26,92.27,112.05,91.33,Normal
heart,Drug B,52.81,11.71,86.36,7.287,83.69,3.35,9.96,86.21,76.87,77.59,80.43,Mild Toxicity
liver,Drug B,51.43,22.52,78.0,7.162,67.72,4.79,15.95,87.77,64.77,72.29,74.69,Mild Toxicity
heart,Drug A,46.6,15.39,96.24,7.401,98.67,1.2,0.79,76.57,88.41,105.97,80.99,Normal
liver,Drug B,28.69,6.65,96.66,7.41,89.92,1.99,3.4,85.69,86.64,96.24,98.39,Normal
liver,Drug A,45.34,1.73,95.23,7.404,97.81,1.06,1.69,77.37,88.8,107.63,90.68,Normal
lungs,Drug B,47.11,14.99,85.24,7.274,82.09,2.85,10.41,77.73,71.66,87.57,99.31,Mild Toxicity
heart,Drug C,40.3,29.69,52.02,6.814,28.91,10.05,37.72,28.87,29.2,22.02,38.07,Severe Toxicity
heart,Drug A,31.58,19.23,96.82,7.331,96.85,1.19,1.38,78.33,89.06,103.67,97.37,Normal
kidney,Drug A,45.27,30.86,95.34,7.423,97.19,0.93,1.41,76.4,93.25,103.24,92.07,Normal
lungs,Drug A,19.54,24.98,98.4,7.402,95.99,1.36,1.55,72.6,90.72,111.25,95.5,Normal
kidney,Drug B,34.81,21.65,86.13,7.211,76.21,3.21,11.15,85.88,81.64,76.4,86.01,Mild Toxicity
lungs,Drug B,29.56,15.27,90.6,7.25,91.71,2.54,7.08,75.53,84.81,89.56,75.25,Mild Toxicity
heart,Drug C,11.82,33.49,80.6,7.213,73.81,4.08,13.0,85.35,67.92,83.99,80.23,Mild Toxicity
heart,Drug C,12.84,29.01,83.83,7.214,76.18,3.69,12.43,83.33,71.38,80.77,77.85,Mild Toxicity
liver,Drug C,35.44,7.06,87.32,7.233,81.64,2.94,9.54,75.41,69.97,86.38,87.51,Mild Toxicity
liver,Drug A,41.09,3.79,97.01,7.359,96.27,1.03,1.28,65.6,87.67,95.3,91.93,Normal
liver,Drug B,14.14,23.05,92.28,7.289,87.92,2.26,5.82,77.62,89.3,100.2,75.8,Normal
lungs,Drug B,6.71,16.81,95.95,7.362,99.58,1.72,2.88,75.53,93.74,95.42,94.03,Normal
lungs,Drug A,44.17,14.27,94.19,7.357,97.27,0.87,1.06,65.97,96.48,96.32,96.33,Normal
lungs,Drug C,33.26,17.05,74.56,7.044,66.73,5.17,18.48,86.9,67.04,76.87,68.18,Severe Toxicity
lungs,Drug C,29.9,6.91,88.82,7.3,84.36,2.38,7.98,71.44,82.19,90.56,84.32,Normal
heart,Drug B,46.64,35.31,67.28,7.013,63.23,6.13,22.81,106.18,57.81,63.57,76.02,Severe Toxicity
heart,Drug C,31.13,2.5,91.86,7.354,95.4,1.69,3.5,77.44,86.83,100.11,89.58,Normal
heart,Drug B,55.4,32.23,69.28,6.932,55.01,6.44,23.97,104.32,48.91,38.87,69.23,Severe Toxicity
kidney,Drug C,18.25,24.33,81.36,7.247,72.13,4.38,14.94,90.23,67.6,81.48,78.91,Mild Toxicity
liver,Drug C,14.8,25.99,82.15,7.17,75.62,3.85,13.16,82.08,70.91,87.72,80.77,Mild Toxicity
kidney,Drug B,6.29,2.93,97.4,7.37,97.53,1.09,2.03,72.19,86.98,103.7,101.83,Normal
liver,Drug B,26.67,16.47,92.92,7.235,85.01,1.95,6.59,79.43,80.96,92.4,88.86,Mild Toxicity
lungs,Drug A,17.13,24.8,94.79,7.361,96.01,0.85,1.27,77.95,92.8,107.03,104.96,Normal
lungs,Drug B,8.42,31.08,88.6,7.344,92.5,1.62,4.69,79.51,89.37,97.71,89.78,Normal
liver,Drug B,55.07,6.53,91.67,7.382,95.63,2.0,6.68,87.01,86.0,93.84,87.05,Normal
kidney,Drug A,25.65,35.1,94.38,7.364,98.92,1.1,2.27,73.55,95.76,102.65,99.15,Normal
liver,Drug A,53.24,6.62,96.86,7.419,100.0,1.49,1.13,77.04,89.06,105.71,100.96,Normal
liver,Drug B,3.36,32.14,96.53,7.35,98.71,1.43,2.54,81.67,91.59,94.32,94.89,Normal
kidney,Drug B,35.71,32.65,78.84,7.078,69.9,5.02,16.6,100.06,69.13,78.42,76.54,Mild Toxicity
lungs,Drug B,53.56,31.6,66.67,7.023,58.0,6.14,22.44,102.5,53.0,49.75,67.84,Severe Toxicity
heart,Drug A,23.26,18.78,96.91,7.352,97.83,1.31,1.36,77.6,91.57,105.08,93.99,Normal
lungs,Drug C,34.85,3.96,89.83,7.282,90.87,2.09,5.59,75.4,87.55,96.7,83.52,Normal
kidney,Drug A,4.76,24.6,94.33,7.412,99.49,1.13,1.64,73.36,92.26,99.75,102.07,Normal
kidney,Drug A,24.11,4.38,97.44,7.421,95.95,1.44,1.58,75.2,84.86,109.0,96.01,Normal
kidney,Drug A,8.83,7.34,97.93,7.373,94.13,1.09,0.98,81.92,89.43,107.41,93.08,Normal
liver,Drug C,56.13,2.65,93.21,7.29,87.84,2.16,6.41,79.77,76.58,118.58,85.6,Normal
liver,Drug B,31.32,6.2,95.31,7.36,94.94,1.49,4.22,72.13,91.02,90.45,82.36,Normal
heart,Drug B,10.68,1.5,97.22,7.362,98.81,1.07,1.9,67.73,93.71,98.29,97.65,Normal
liver,Drug B,50.44,30.49,69.26,6.994,65.56,5.53,20.23,96.05,60.97,67.66,73.77,Severe Toxicity
liver,Drug A,19.51,7.49,98.9,7.372,99.82,0.88,1.67,76.8,89.15,118.31,90.45,Normal
heart,Drug B,7.13,22.95,93.72,7.327,91.19,1.65,3.67,83.25,89.83,107.59,95.83,Normal
liver,Drug B,59.51,34.92,59.87,6.85,43.12,7.31,28.04,110.34,40.41,48.07,58.82,Severe Toxicity
liver,Drug C,40.13,6.95,86.93,7.253,81.32,3.3,9.74,82.39,73.65,86.59,78.81,Mild Toxicity
liver,Drug C,28.45,22.99,69.92,7.029,61.54,6.03,21.17,98.89,60.57,66.78,65.26,Severe Toxicity
kidney,Drug C,20.59,6.63,88.46,7.243,88.88,2.23,5.85,79.67,80.81,102.04,94.81,Mild Toxicity
kidney,Drug C,15.02,35.74,76.51,7.143,63.24,5.0,18.12,89.84,61.61,61.72,83.35,Mild Toxicity
liver,Drug C,40.17,22.6,60.1,6.979,44.01,7.87,29.21,45.9,44.33,42.8,61.8,Severe Toxicity
kidney,Drug C,20.58,20.14,81.48,7.093,72.27,4.34,14.67,89.9,71.25,85.38,78.2,Mild Toxicity
lungs,Drug C,59.55,24.7,40.66,6.661,15.16,12.0,46.6,33.84,16.66,9.25,41.96,Severe Toxicity
lungs,Drug C,34.47,34.8,51.44,6.802,29.25,10.22,37.87,30.6,25.68,11.37,46.04,Severe Toxicity
liver,Drug B,18.35,20.38,90.72,7.355,84.97,2.29,5.66,81.83,85.98,104.8,79.45,Normal
liver,Drug C,11.36,9.84,94.42,7.343,94.83,2.1,4.73,77.6,91.11,90.33,78.92,Normal
liver,Drug A,24.02,24.13,98.1,7.461,97.51,1.03,1.11,65.7,95.15,102.74,89.6,Normal
liver,Drug C,15.36,33.5,79.54,7.182,67.73,4.94,16.92,90.65,65.37,67.34,69.63,Mild Toxicity
lungs,Drug C,46.66,19.79,61.68,6.934,44.39,7.98,29.78,40.29,47.03,39.74,53.61,Severe Toxicity
lungs,Drug B,7.27,28.94,96.23,7.312,97.61,1.58,3.78,69.35,84.92,95.66,89.37,Normal
liver,Drug A,25.61,10.85,97.06,7.354,98.11,1.09,1.7,74.33,91.98,113.45,84.75,Normal
kidney,Drug B,39.85,22.41,81.1,7.22,77.81,3.68,12.46,88.99,69.64,97.18,80.83,Mild Toxicity
heart,Drug A,9.04,21.6,96.31,7.418,100.0,1.29,1.36,79.1,95.65,112.01,92.95,Normal
heart,Drug C,7.14,28.38,91.75,7.237,89.19,2.52,7.46,83.68,85.52,94.8,83.09,Mild Toxicity
heart,Drug B,22.79,10.92,90.75,7.361,93.16,2.04,4.59,82.36,92.89,105.71,89.74,Normal
heart,Drug A,51.49,26.25,94.14,7.372,97.08,0.77,1.39,71.09,92.33,113.71,97.55,Normal
liver,Drug A,3.4,9.75,98.9,7.399,94.68,1.3,1.41,73.96,93.48,106.13,83.89,Normal
heart,Drug C,38.8,27.89,54.7,6.88,35.8,9.19,34.81,38.8,29.53,40.42,59.39,Severe Toxicity
lungs,Drug B,45.2,15.77,87.11,7.242,80.85,3.68,10.66,84.19,74.31,84.6,81.68,Mild Toxicity
lungs,Drug C,24.53,21.11,74.78,7.146,68.02,5.22,17.79,94.01,60.26,82.25,73.13,Mild Toxicity
liver,Drug B,32.51,21.65,85.26,7.159,80.56,3.18,10.69,85.41,75.47,90.44,87.85,Mild Toxicity
liver,Drug A,54.14,9.96,98.41,7.397,97.79,1.08,1.98,77.46,89.63,100.19,102.16,Normal
kidney,Drug A,11.09,23.96,98.6,7.366,97.3,1.49,1.6,76.45,90.48,112.97,91.8,Normal
liver,Drug A,27.25,6.92,97.31,7.391,98.43,1.18,1.75,68.89,97.78,113.09,84.57,Normal
liver,Drug C,43.76,23.03,62.55,6.759,39.68,8.54,31.6,53.74,35.91,32.61,58.65,Severe Toxicity
heart,Drug C,8.54,31.18,88.23,7.257,82.46,2.97,9.91,82.01,76.27,97.21,97.26,Mild Toxicity
liver,Drug A,22.5,1.04,97.91,7.428,96.8,0.63,1.58,70.35,86.85,103.3,102.0,Normal
kidney,Drug B,41.89,5.39,95.58,7.318,91.99,1.65,4.56,78.56,80.5,116.45,92.26,Normal
kidney,Drug C,9.12,21.66,85.5,7.324,86.01,2.54,7.91,79.7,82.13,88.97,84.26,Mild Toxicity
liver,Drug C,32.86,13.58,82.37,7.178,75.12,4.26,14.62,87.99,67.61,87.58,91.15,Mild Toxicity
heart,Drug A,35.76,5.83,97.93,7.441,98.2,1.05,1.28,72.83,86.75,112.31,96.08,Normal
heart,Drug B,9.85,8.06,97.46,7.408,100.0,0.92,2.82,76.3,91.22,117.89,95.92,Normal
lungs,Drug B,13.64,28.97,92.25,7.248,90.55,2.57,5.91,83.42,76.52,91.15,82.39,Mild Toxicity
liver,Drug B,47.96,34.6,72.45,6.901,51.77,6.18,21.92,101.45,51.48,64.11,67.94,Severe Toxicity
heart,Drug C,56.66,6.42,83.72,7.166,70.98,3.82,12.53,79.24,75.29,82.2,80.66,Mild Toxicity
lungs,Drug A,19.54,30.78,100.0,7.431,95.4,1.11,1.59,71.32,83.15,107.28,90.42,Normal
kidney,Drug A,32.5,8.0,98.64,7.364,96.31,1.3,1.24,76.2,83.98,107.24,96.96,Normal
liver,Drug A,9.08,11.78,96.96,7.455,100.0,1.02,1.21,69.79,87.08,112.83,90.59,Normal
lungs,Drug C,20.4,3.99,91.9,7.286,93.67,1.96,3.93,79.13,88.11,97.17,91.89,Normal
heart,Drug B,39.93,11.95,92.89,7.291,84.85,2.4,8.46,80.16,83.32,88.73,86.95,Mild Toxicity
liver,Drug B,53.56,6.63,91.0,7.288,87.98,2.15,6.15,79.91,91.92,97.08,91.0,Normal
kidney,Drug A,7.1,9.23,94.94,7.424,99.18,0.91,1.65,74.5,95.2,115.45,94.16,Normal
lungs,Drug B,33.6,5.78,91.38,7.328,95.42,1.46,3.88,73.59,87.67,99.72,99.73,Normal
lungs,Drug A,44.04,34.07,93.05,7.36,93.97,0.96,1.18,79.34,92.68,105.52,82.41,Normal
lungs,Drug C,49.94,2.38,93.1,7.312,87.83,2.05,5.4,76.08,91.46,93.39,86.56,Normal
lungs,Drug A,40.88,11.3,98.57,7.441,94.31,1.11,1.39,62.07,97.5,111.63,90.29,Normal
heart,Drug A,22.27,3.38,99.42,7.352,98.8,0.96,1.01,69.28,91.93,105.23,91.01,Normal
lungs,Drug C,52.31,30.87,33.5,6.6,5.0,12.0,50.45,20.55,10.91,8.0,36.98,Severe Toxicity
kidney,Drug B,48.55,17.18,81.56,7.13,76.46,3.29,11.1,91.69,73.25,92.3,88.03,Mild Toxicity
heart,Drug A,55.0,29.67,92.82,7.286,100.0,0.9,0.85,61.97,90.27,105.81,93.62,Normal
lungs,Drug A,7.32,22.62,98.09,7.331,98.42,0.96,1.31,77.85,94.12,98.34,95.56,Normal
liver,Drug A,9.62,33.74,96.17,7.412,98.45,1.08,1.94,60.71,84.63,105.69,100.52,Normal
heart,Drug B,28.13,2.05,94.81,7.404,100.0,1.38,3.03,80.17,89.35,106.87,105.93,Normal
lungs,Drug A,27.83,2.36,97.02,7.425,98.35,1.0,2.44,77.07,94.4,98.56,101.0,Normal
lungs,Drug B,5.52,10.65,96.67,7.398,96.26,0.76,1.93,76.16,90.64,90.88,104.49,Normal
liver,Drug B,8.01,13.21,91.41,7.313,97.14,1.46,2.47,75.17,98.24,117.08,100.59,Normal
kidney,Drug C,40.04,17.85,67.59,7.064,56.02,6.45,24.31,99.69,54.65,59.24,67.41,Severe Toxicity
kidney,Drug A,18.98,33.19,99.02,7.467,97.53,1.37,1.24,70.66,96.16,111.46,101.78,Normal
liver,Drug A,13.29,8.36,94.96,7.431,97.21,1.03,0.97,71.25,91.25,101.33,94.25,Normal
kidney,Drug C,25.81,25.47,73.32,7.094,56.57,5.89,21.73,91.1,54.68,68.85,70.89,Mild Toxicity
kidney,Drug B,38.29,17.66,81.86,7.289,81.13,3.32,9.53,88.73,73.45,85.98,92.53,Mild Toxicity
kidney,Drug B,47.23,25.56,77.46,7.114,69.65,4.74,16.86,96.8,61.44,77.2,66.27,Mild Toxicity
kidney,Drug B,36.42,14.48,89.24,7.299,87.17,2.55,7.64,81.95,88.8,83.52,79.35,Normal
liver,Drug A,13.67,16.29,94.99,7.373,97.68,1.06,1.06,72.31,95.22,106.66,101.58,Normal
kidney,Drug A,26.69,27.16,95.73,7.412,99.26,1.18,2.07,72.88,90.16,112.12,91.18,Normal
kidney,Drug A,59.3,23.88,98.02,7.442,97.11,1.28,1.61,81.38,98.23,107.1,91.86,Normal
heart,Drug A,13.16,18.34,94.73,7.417,97.4,1.07,1.68,78.77,97.31,108.02,92.63,Normal
kidney,Drug B,14.05,3.45,96.51,7.453,96.2,1.21,2.28,75.68,92.48,102.95,101.74,Normal
lungs,Drug B,30.94,27.16,84.15,7.177,77.43,3.31,11.93,90.13,70.48,70.49,72.38,Mild Toxicity
heart,Drug B,57.3,15.01,80.93,7.189,76.35,3.5,12.22,98.03,75.23,82.87,90.03,Mild Toxicity
lungs,Drug C,54.06,34.93,21.22,6.6,5.0,12.0,59.98,20.0,8.0,8.0,21.98,Severe Toxicity
lungs,Drug A,39.9,18.29,95.48,7.387,95.35,1.08,1.32,82.2,87.31,103.83,85.96,Normal
lungs,Drug B,19.77,19.2,87.89,7.337,89.81,2.37,6.35,79.88,80.28,90.23,92.22,Normal
liver,Drug C,21.26,24.31,74.71,7.111,71.36,4.9,17.06,89.57,63.94,74.0,76.91,Mild Toxicity
liver,Drug B,36.26,4.52,98.04,7.307,94.98,1.81,2.61,80.14,91.67,100.71,83.17,Normal
lungs,Drug A,7.64,6.96,94.17,7.415,98.9,0.98,0.89,73.12,94.99,111.72,94.37,Normal
kidney,Drug B,59.39,2.59,94.85,7.332,96.63,1.69,4.33,68.78,88.06,99.02,91.07,Normal
lungs,Drug C,42.02,2.89,90.21,7.422,89.66,2.16,5.28,78.66,81.15,96.19,88.16,Normal
lungs,Drug A,8.1,6.05,100.0,7.407,95.45,1.28,1.94,68.92,88.78,108.06,96.2,Normal
kidney,Drug A,8.12,30.72,97.44,7.438,95.44,1.21,2.17,78.61,91.43,103.51,96.23,Normal
heart,Drug B,28.28,8.31,90.45,7.396,91.19,1.93,5.26,80.91,83.2,89.13,95.62,Normal
heart,Drug B,33.51,34.14,75.29,7.103,67.15,4.75,15.48,90.16,63.35,74.14,86.28,Mild Toxicity
heart,Drug C,24.16,14.83,83.7,7.246,77.6,3.44,12.56,93.36,75.22,67.91,83.73,Mild Toxicity
kidney,Drug B,31.13,8.19,97.45,7.31,92.87,1.74,4.54,71.69,88.12,88.23,86.58,Normal
heart,Drug A,39.91,24.42,94.46,7.403,94.01,1.15,1.87,66.77,91.86,108.49,96.53,Normal
kidney,Drug A,3.86,26.33,98.23,7.414,92.12,0.88,1.4,73.58,88.32,109.66,92.62,Normal
liver,Drug A,40.84,8.77,97.97,7.414,100.0,1.22,1.49,69.41,90.16,105.67,93.14,Normal
heart,Drug A,30.14,4.68,97.23,7.41,95.23,0.98,1.92,67.61,89.16,108.03,97.49,Normal
lungs,Drug C,28.38,31.4,58.15,6.965,47.96,7.65,28.71,47.11,49.21,61.0,55.63,Severe Toxicity
kidney,Drug B,41.69,23.38,80.51,7.082,77.1,4.37,13.83,95.86,77.19,81.64,78.17,Mild Toxicity
liver,Drug C,8.51,33.97,87.32,7.214,80.08,3.27,10.47,94.65,80.13,89.49,88.21,Mild Toxicity
